HSCode,Description,Partner Countries,Unit,Quantity,Exports_Value
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa",Sweden,PCS,805,6431
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa",Switzerland,PCS,3129,849
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa","Taiwan, Province of China",PCS,18,10
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa",United Kingdom,PCS,17829,11282
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa",United States,PCS,28611,46278
61101900,"Other jerseys,pullovers,cardigans,waistcoa  s&similar articles,knitted or crochet",Italy,PCS,95,400
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",Australia,PCS,23,142
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",Canada,PCS,282,195
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",France,PCS,5483,29988
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",Germany,PCS,1123,14959
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",United Kingdom,PCS,1069,4959
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",United States,PCS,420,3129
61112000,"Babies' garments & clothing accessories of  cotton, knitted or crocheted.",Spain,PCS,385,417
61121200,"Track-suits of synthetic fibres, knitted o   crocheted",Netherlands,PCS,19,33
61159400,Other hosiery of wool or fine animal hair   .,Germany,PR,628,1482
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",Belgium,PR,770,160
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",Canada,PR,4675,2578
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",Germany,PR,4230,1299
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",Netherlands,PR,8024,4040
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",United Kingdom,PR,28539,10697
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",United States,PR,6803,7154
61171000,"Shawls, scarves, mufflers, mantillas, veil  , etc, knitted or crocheted",Netherlands,PCS,80,577
61171000,"Shawls, scarves, mufflers, mantillas, veil  , etc, knitted or crocheted",Spain,PCS,79,661
61171000,"Shawls, scarves, mufflers, mantillas, veil  , etc, knitted or crocheted",United Kingdom,PCS,452,3003
61178000,"Other clothing accessories, knitted or cro  heted, nes",United States,PCS,195,223
61179000,"Parts of garments or clothing accessories,  knitted or crocheted",United States,PCS,234,283
62033100,Men's or boys' jackets and blazers of wool  or fine animal hair,Italy,PCS,294,94
62033100,Men's or boys' jackets and blazers of wool  or fine animal hair,United Arab Emirates,PCS,14,126
62033100,Men's or boys' jackets and blazers of wool  or fine animal hair,United States,PCS,12,226
62033300,Men's or boys' jackets and blazers of synt  etic fibres,India,PCS,4356,3897
62041200,Women's or girls' suits of cotton   .,India,PCS,28,7
62041900,"Women's or girls' suits of other textiles   aterials, nes",United States,PCS,34588,14644
62042900,"Women's or girls' ensembles of other texti  es materials, nes",Canada,PCS,3369,474
62043100,Women's or girls' jackets and blazers of w  ol or fine animal hair,Australia,PCS,155,25
62043100,Women's or girls' jackets and blazers of w  ol or fine animal hair,Germany,PCS,415,1102
62043100,Women's or girls' jackets and blazers of w  ol or fine animal hair,Netherlands,PCS,60,150
62043100,Women's or girls' jackets and blazers of w  ol or fine animal hair,New Zealand,PCS,1128,882
62043200,Women's or girls' jackets and blazers of c  tton.,Australia,PCS,692,210
62043200,Women's or girls' jackets and blazers of c  tton.,Canada,PCS,3897,1044
62043200,Women's or girls' jackets and blazers of c  tton.,Czech Republic,PCS,404,103
62043200,Women's or girls' jackets and blazers of c  tton.,Germany,PCS,1150,3263
62043200,Women's or girls' jackets and blazers of c  tton.,Ireland,PCS,1960,4001
62043200,Women's or girls' jackets and blazers of c  tton.,Italy,PCS,306,2082
62043200,Women's or girls' jackets and blazers of c  tton.,Japan,PCS,1523,1038
62043200,Women's or girls' jackets and blazers of c  tton.,Malaysia,PCS,1449,1469
62043200,Women's or girls' jackets and blazers of c  tton.,Netherlands,PCS,13667,16180
62043200,Women's or girls' jackets and blazers of c  tton.,New Zealand,PCS,2100,1159
62043200,Women's or girls' jackets and blazers of c  tton.,Poland,PCS,152,68
62043200,Women's or girls' jackets and blazers of c  tton.,Singapore,PCS,60,16
62043200,Women's or girls' jackets and blazers of c  tton.,Sweden,PCS,18,11
62043200,Women's or girls' jackets and blazers of c  tton.,United Kingdom,PCS,22905,13942
62043200,Women's or girls' jackets and blazers of c  tton.,United States,PCS,32584,26130
62044100,Women's or girls' dresses of wool or fine   nimal hair,China,PCS,10885,919
62044200,Women's or girls' dresses of cotton   .,Australia,PCS,13168,1628
62044200,Women's or girls' dresses of cotton   .,Belgium,PCS,988,3136
62044200,Women's or girls' dresses of cotton   .,Bhutan,PCS,390,59
62044200,Women's or girls' dresses of cotton   .,Canada,PCS,1333,936
62044200,Women's or girls' dresses of cotton   .,China,PCS,5590,854
62044200,Women's or girls' dresses of cotton   .,Croatia,PCS,519,647
62044200,Women's or girls' dresses of cotton   .,Czech Republic,PCS,9467,6588
62044200,Women's or girls' dresses of cotton   .,Denmark,PCS,2957,1109
62044200,Women's or girls' dresses of cotton   .,France,PCS,8794,1752
62044200,Women's or girls' dresses of cotton   .,Germany,PCS,22582,17580
62044200,Women's or girls' dresses of cotton   .,Greece,PCS,1162,546
62044200,Women's or girls' dresses of cotton   .,Hong Kong,PCS,505,563
62044200,Women's or girls' dresses of cotton   .,Ireland,PCS,6040,7011
62044200,Women's or girls' dresses of cotton   .,Italy,PCS,590,155
62044200,Women's or girls' dresses of cotton   .,Japan,PCS,8090,95086
62044200,Women's or girls' dresses of cotton   .,Netherlands,PCS,6444,2443
62044200,Women's or girls' dresses of cotton   .,Poland,PCS,2600,1083
62044200,Women's or girls' dresses of cotton   .,Singapore,PCS,147,12
62044200,Women's or girls' dresses of cotton   .,Spain,PCS,4074,1591
62044200,Women's or girls' dresses of cotton   .,Sweden,PCS,2558,6478
62044200,Women's or girls' dresses of cotton   .,Switzerland,PCS,2088,3217
62044200,Women's or girls' dresses of cotton   .,United Arab Emirates,PCS,4436,3564
62044200,Women's or girls' dresses of cotton   .,United Kingdom,PCS,23972,17188
62044200,Women's or girls' dresses of cotton   .,United States,PCS,67546,38688
62044900,"Women's or girls' dresses of other textile  , nes",Italy,PCS,4,189
62046100,"Women's or girls' trousers, breeches, etc,  of wool or fine animal hair",United Kingdom,PCS,68,88
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Australia,PCS,10571,4512
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Austria,PCS,1141,331
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Belgium,PCS,297,775
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Bhutan,PCS,7028,1023
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Canada,PCS,2925,2349
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",China,PCS,33362,2005
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Denmark,PCS,2881,3899
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",France,PCS,5650,3065
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Germany,PCS,14031,14060
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Hong Kong,PCS,7731,2668
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Indonesia,PCS,776,242
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Ireland,PCS,624,67
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Italy,PCS,28240,3703
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Japan,PCS,25060,6062
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Netherlands,PCS,713,470
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Portugal,PCS,6592,386
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Romania,PCS,2304,1460
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Singapore,PCS,42483,2913
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Slovakia,PCS,940,296
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Slovenia,PCS,4095,2173
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",South Africa,PCS,4100,1602
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Spain,PCS,895,201
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Sweden,PCS,1178,711
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",Switzerland,PCS,631,163
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",United Arab Emirates,PCS,6069,1630
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",United Kingdom,PCS,31316,14170
62046200,"Women's or girls' trousers, breeches, etc,  of cotton",United States,PCS,152793,47506
62052000,Men's or boys' shirts of cotton   .,Australia,PCS,2061,5584
62052000,Men's or boys' shirts of cotton   .,Germany,PCS,1012,1065
62052000,Men's or boys' shirts of cotton   .,Netherlands,PCS,672,265
62052000,Men's or boys' shirts of cotton   .,South Africa,PCS,603,425
62052000,Men's or boys' shirts of cotton   .,United Kingdom,PCS,1095,801
62052000,Men's or boys' shirts of cotton   .,United States,PCS,17900,15509
62059000,"Men's or boys' shirts of other textiles ma  erials, nes",Canada,PCS,10878,8825
62061000,"Women's or girls' blouses, shirts, shirt-b  ouse of silk or silk waste",United States,PCS,20,114
62063000,"Women's or girls' blouses, shirts, shirt-b  ouse of cotton",United States,PCS,1099,835
62069000,"Women's or girls' blouses, shirts, shirt-b  ouse of other textiles, nes",United Kingdom,PCS,9,77
62072100,Men's or boys' nightshirts and pyjamas of   otton,Canada,PCS,71,167
62141000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of silk or silk waste.",China,PCS,302,42
62141000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of silk or silk waste.",United Kingdom,PCS,121,63
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Australia,PCS,1899,815
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Austria,PCS,2436,12008
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Belgium,PCS,90,177
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Bhutan,PCS,193,15
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Canada,PCS,734,1306
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Chile,PCS,10198,175
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",China,PCS,35003,998
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Denmark,PCS,54,708
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Finland,PCS,893,3897
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",France,PCS,4106,27951
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Germany,PCS,29487,122777
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Greece,PCS,2,38
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",India,PCS,13574,5138
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Indonesia,PCS,18752,327
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Ireland,PCS,133,698
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Italy,PCS,8611,28555
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Japan,PCS,3471,7004
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Kazakstan,PCS,100,114
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair","Korea, Republic of",PCS,136,707
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Latvia,PCS,46,208
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Malaysia,PCS,86,20
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Netherlands,PCS,3088,11566
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",New Zealand,PCS,5,0
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Oman,PCS,96,182
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Poland,PCS,476,53
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Saudi Arabia,PCS,124,839
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Singapore,PCS,115,461
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",South Africa,PCS,5429,1127
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Spain,PCS,325,1583
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Sweden,PCS,66,471
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",Switzerland,PCS,3795,19730
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair","Taiwan, Province of China",PCS,243,2838
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",United Arab Emirates,PCS,73,176
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",United Kingdom,PCS,3865,22830
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",United States,PCS,13579,43839
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",Australia,PCS,183,102
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",China,PCS,125,30
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",Italy,PCS,53,150
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",Switzerland,PCS,263,2533
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",United States,PCS,12,157
62171000,"Other made up clothing accessories, nes",Australia,PCS,1,7
62171000,"Other made up clothing accessories, nes",Canada,PCS,2399,739
62171000,"Other made up clothing accessories, nes",United States,PCS,1130,330
63012000,"Blankets (excl electric blankets) and tra v lling rugs, of wool or fine animal ha",United States,PCS,1,41
63019000,"Other blankets and travelling rugs, nes   .",France,PCS,435,6754
63019000,"Other blankets and travelling rugs, nes   .",Japan,PCS,386,134
63019000,"Other blankets and travelling rugs, nes   .",Switzerland,PCS,193,59
63019000,"Other blankets and travelling rugs, nes   .",United States,PCS,14,2018
63031900,"Curtains, interior blinds, bed, valances o   textile materials, knitted or croche",Singapore,PCS,22,24
63031900,"Curtains, interior blinds, bed, valances o   textile materials, knitted or croche",Switzerland,PCS,106,8
63049990,Others of other textile materials,United States,PCS,2595,108
63051000,Sacks and bags of jute,India,Kg,952706,134562
63052000,"Sacks and bags, used for packing goods, of  cotton",Australia,Kg,288,913
63052000,"Sacks and bags, used for packing goods, of  cotton",Bolivia,Kg,16,103
63052000,"Sacks and bags, used for packing goods, of  cotton",Canada,Kg,450,1472
63052000,"Sacks and bags, used for packing goods, of  cotton",Czech Republic,Kg,950,1072
63052000,"Sacks and bags, used for packing goods, of  cotton",Denmark,Kg,35,211
63052000,"Sacks and bags, used for packing goods, of  cotton",France,Kg,917,1815
63052000,"Sacks and bags, used for packing goods, of  cotton",Germany,Kg,83,89
63052000,"Sacks and bags, used for packing goods, of  cotton",Israel,Kg,45,79
63052000,"Sacks and bags, used for packing goods, of  cotton",Japan,Kg,103,164
63052000,"Sacks and bags, used for packing goods, of  cotton","Korea, Republic of",Kg,100,205
63052000,"Sacks and bags, used for packing goods, of  cotton",Malaysia,Kg,100,62
63052000,"Sacks and bags, used for packing goods, of  cotton",Netherlands,Kg,1663,2754
63052000,"Sacks and bags, used for packing goods, of  cotton",Philippines,Kg,90,53
63052000,"Sacks and bags, used for packing goods, of  cotton",Poland,Kg,42,11
63052000,"Sacks and bags, used for packing goods, of  cotton",Qatar,Kg,2320,1745
63052000,"Sacks and bags, used for packing goods, of  cotton",South Africa,Kg,150,208
63052000,"Sacks and bags, used for packing goods, of  cotton",Spain,Kg,3553,8139
63052000,"Sacks and bags, used for packing goods, of  cotton",United Kingdom,Kg,368,1782
63052000,"Sacks and bags, used for packing goods, of  cotton",United States,Kg,7837,18918
63059000,"Sacks and bags, used for packing goods, of  other textiles, nes",France,Kg,2583,4417
63059000,"Sacks and bags, used for packing goods, of  other textiles, nes",India,Kg,142490,19794
63071000,"Floor-cloths, dish-cloths, dusters and sim  lar cleaning cloths.",Germany,PCS,855,240
63071000,"Floor-cloths, dish-cloths, dusters and sim  lar cleaning cloths.",Singapore,PCS,15,4
63071000,"Floor-cloths, dish-cloths, dusters and sim  lar cleaning cloths.",United States,PCS,192,72
63079090,Others made up textile article,Denmark,PCS,5,1
63079090,Others made up textile article,Malaysia,PCS,5,1
63079090,Others made up textile article,United States,PCS,176580,19475
63090000,Worn clothing and other worn articles,India,Kg,7100,635
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Australia,Kg,480,44
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Canada,Kg,1470,32
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",France,Kg,75,13
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Germany,Kg,194,20
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",India,Kg,11490,718
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Japan,Kg,105,13
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc","Korea, Republic of",Kg,280,25
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Mali,Kg,275,200
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Pakistan,Kg,135,24
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Serbia,Kg,180,93
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Singapore,Kg,410,13
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",South Africa,Kg,56,82
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Sri Lanka,Kg,54,12
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Sudan,Kg,95,91
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",United Kingdom,Kg,1226,68
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",United States,Kg,2753,126
64029900,"Other footwear, nes, not covering the ankl  , of rubber or plasticsÃ . [NPR]",India,PAIR,39720,8808
64041190,Sport footwear having the upper parts of o  her fabric other than cottonÃ  [NPR],India,PAIR,5500,5886
64041900,"Sports footwear, with rubber or plastic so  es and textile uppersÃ  [NPR]",India,PAIR,106434,42405
64041900,"Sports footwear, with rubber or plastic so  es and textile uppersÃ  [NPR]",Switzerland,PAIR,3000,2863
64042000,Footwear with outer soles of leather or co  position leatherÃ . [NPR],Germany,PAIR,34,100
64042000,Footwear with outer soles of leather or co  position leatherÃ . [NPR],Japan,PAIR,420,383
64042000,Footwear with outer soles of leather or co  position leatherÃ . [NPR],United States,PAIR,9,3
64052099,Other footware with uppers of other textil   materials other than cottonÃ  [NPR],India,PAIR,12630,5433
64062000,Outer soles and heels of rubber and plasti  s,India,PR,31272,4254
65020000,"Hat-shapes, plaited or made by assembling   trips of any material",Canada,PCS,185,128
65050011,"Hats and other headgear, knitted or crochet d,or made up from lace, felt or other",United States,Kg,1817,8277
65050021,Hats of felt,Canada,PCS,875,509
65050090,Other cap,Belgium,PCS,16,115
65050090,Other cap,China,PCS,231,16
65050090,Other cap,New Zealand,PCS,134,76
65050090,Other cap,United States,PCS,2756,4064
65070000,"Head-bands, linings, covers, hat foundatio  s, etc, for headgear.",Switzerland,Kg,2,1
67041900,"False beards, eyebrows and eyelashes, etc,  of synthetic fibres.",Bangladesh,Kg,8040,2840
67041900,"False beards, eyebrows and eyelashes, etc,  of synthetic fibres.",China,Kg,454,317
67041900,"False beards, eyebrows and eyelashes, etc,  of synthetic fibres.",Myanmar,Kg,1530,389
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",Bangladesh,Kg,690,702
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",Canada,Kg,4,231
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair","Korea, Republic of",Kg,10,1672
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",Netherlands,Kg,18,2179
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",United States,Kg,67,4611
68022300,"Granite, cut/sawn, with flat/even surface",India,Kg,27650,2275
69120000,"Ceramic tableware, kitchenware, other hous  hold articles (excl porcelain or chin",Netherlands,PCS,961,287
69120000,"Ceramic tableware, kitchenware, other hous  hold articles (excl porcelain or chin",Poland,PCS,263,95
69120000,"Ceramic tableware, kitchenware, other hous  hold articles (excl porcelain or chin",Sweden,PCS,1135,395
69139000,Statuettes and other ornamental articles (  xcl porcelain or china),United States,PCS,422,135
69141000,"Ceramic articles, nes, of porcelain or chi  a",India,PCS,1314,702
69141000,"Ceramic articles, nes, of porcelain or chi  a",Netherlands,PCS,551,334
69141000,"Ceramic articles, nes, of porcelain or chi  a",Sweden,PCS,750,256
69141000,"Ceramic articles, nes, of porcelain or chi  a",Switzerland,PCS,1530,792
69141000,"Ceramic articles, nes, of porcelain or chi  a",United States,PCS,906,641
69149000,"Ceramic articles, nes (excl porcelain or  c ina).",Italy,PCS,175,18
69149000,"Ceramic articles, nes (excl porcelain or  c ina).",United States,PCS,749,87
70010000,"Cullet and other waste and scrap of glass, excluding glass from cathode ray tubes or",India,Kg,4519575,38303
70131000,"Glass-ceramic objects, used for table, kit  hen, toilet, office, indoor decoratio",United States,PCS,333355,51887
70139100,"Glassware for toilet, office, indoor decor  tions, etc, of lead crystal",France,PCS,71,692
70179000,"Laboratory, hygienic or pharmaceutical gla  sware, nes",United States,Kg,6,7
70181010,"Bangles,tika ,tikuli & beds",Australia,GRO,110,10
70181010,"Bangles,tika ,tikuli & beds",China,GRO,8910,433
70181010,"Bangles,tika ,tikuli & beds",Croatia,GRO,140,27
70181010,"Bangles,tika ,tikuli & beds",Germany,GRO,94,337
70181010,"Bangles,tika ,tikuli & beds",Indonesia,GRO,32,2
70181010,"Bangles,tika ,tikuli & beds",Japan,GRO,115,39
70181010,"Bangles,tika ,tikuli & beds",Poland,GRO,7,1
70181010,"Bangles,tika ,tikuli & beds",United Kingdom,GRO,50,5
70181010,"Bangles,tika ,tikuli & beds",United States,GRO,2691,4976
71023900,"Other non-industrial diamonds, not mounted  or set, nesÃ Ã . [CAR]",Australia,CAR,134,11729
71110000,"Base metals, silver or gold, clad with pla  inum, up to semi-manufactured",United States,GRM,2,276
71131100,Articles of jewellery and parts thereof of silver,Australia,GRM,253,217
71131100,Articles of jewellery and parts thereof of silver,Belgium,GRM,2500,437
71131100,Articles of jewellery and parts thereof of silver,Canada,GRM,2380,375
71131100,Articles of jewellery and parts thereof of silver,Denmark,GRM,440,64
71131100,Articles of jewellery and parts thereof of silver,France,GRM,9165,1568
71131100,Articles of jewellery and parts thereof of silver,Japan,GRM,530,300
71131100,Articles of jewellery and parts thereof of silver,New Caledonia,GRM,3220,916
71131100,Articles of jewellery and parts thereof of silver,Switzerland,GRM,2060,350
71131100,Articles of jewellery and parts thereof of silver,United States,GRM,36135,8269
71131910,"Jewellery of Gold, including parts",Australia,GRM,855,6018
71131910,"Jewellery of Gold, including parts",United States,GRM,4162,38536
71171900,"Imitation jewellery of base metal (incl p l ted), nes",Japan,Kg,11,2922
71179000,Imitation jewellery (excl of base metal)  n s,Australia,Kg,25,56
71179000,Imitation jewellery (excl of base metal)  n s,Belgium,Kg,55,32
71179000,Imitation jewellery (excl of base metal)  n s,Czech Republic,Kg,135,668
71179000,Imitation jewellery (excl of base metal)  n s,Germany,Kg,28,81
71179000,Imitation jewellery (excl of base metal)  n s,Hong Kong,Kg,3,109
71179000,Imitation jewellery (excl of base metal)  n s,India,Kg,50,656
71179000,Imitation jewellery (excl of base metal)  n s,Indonesia,Kg,1200,12
71179000,Imitation jewellery (excl of base metal)  n s,Italy,Kg,190,494
71179000,Imitation jewellery (excl of base metal)  n s,Malaysia,Kg,75,20
71179000,Imitation jewellery (excl of base metal)  n s,Netherlands,Kg,232,7068
71179000,Imitation jewellery (excl of base metal)  n s,Poland,Kg,62,46
71179000,Imitation jewellery (excl of base metal)  n s,South Africa,Kg,1,9
71179000,Imitation jewellery (excl of base metal)  n s,Sweden,Kg,7,7
71179000,Imitation jewellery (excl of base metal)  n s,Switzerland,Kg,18,22
71179000,Imitation jewellery (excl of base metal)  n s,"Taiwan, Province of China",Kg,8,523
71179000,Imitation jewellery (excl of base metal)  n s,Thailand,Kg,344,299
71179000,Imitation jewellery (excl of base metal)  n s,United Kingdom,Kg,182,291
71179000,Imitation jewellery (excl of base metal)  n s,United States,Kg,62,735
72042100,Waste and scrap of stainless steel,India,Kg,43070,2326
72061000,"Ingots of iron and non-alloy steel, nes",United States,Kg,1,4
72072000,"Semi-finished products of iron or non-allo   steel, >=025% carbon",India,Kg,17055,1677
72091700,"Flat/cold-rolled iron/steel, in coils, wid  h >=600mm, >=05mm but <=1mm thickness",India,Kg,42180,3442
72091800,"Flat/cold-rolled iron/steel, in coils, wid  h >=600mm, < 05mm thickness",India,Kg,57380,8315
72092500,"Flat/cold-rolled iron/steel, not in coils,  width >=600mm, >=3mm thickness",India,Kg,109680,7370
72092600,"Flat/cold-rolled iron/steel, not in coils,  width >=600mm, > 1mm but < 3mm thickn",India,Kg,878260,76336
72092700,"Flat/cold-rolled iron/steel, not in coils,  width >=600mm, >=05mm but <= 1mm thic",India,Kg,93260,8347
72092800,"Flat/cold-rolled iron/steel, not in coils,  width >=600mm, < 05mm thickness",India,Kg,125696,14847
72104100,"Flat-rolled iron/steel,width >=600mm, plat  dwith zinc,(exclelectro-plated)cor",India,Kg,1254936,162726
72104900,"Flat-rolled iron/steel,width >=600mm, plat  d or coated with zinc(exclelectro-pla",India,Kg,167188,21511
72106100,"Rolled iron/steel, width >=600mm, plated o   coated with aluminium-zinc alloys",India,Kg,1334556,171744
72107000,"Rolled iron/steel, width >=600mm, painted,  varnished or coated with plastics",India,Kg,1128872,161207
72123000,"Flat-rolled iron/steel, width <600mm, plat  d or coated with zinc (excl electro-p",India,Kg,31036,4069
72124000,"Flat-rolled iron/steel, width <600mm, pain  ed, varnished or coated with plastics",India,Kg,14020,2137
72125000,"Flat-rolled iron or non-alloy steel, width  <600mm, plated or coated, nes",India,Kg,15356,1971
72141000,"Iron or non-alloy steel bars and rods, for  ed,.",India,Kg,7998,812
72172000,"Wire of iron or non-alloy steel,plated or   oated with zinc.",India,Kg,250220,22142
