Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
06029000	Other live plants,nes	Armenia	PCS	42	60	0
06029000	Other live plants,nes	India	PCS	19400	1678	54
06029000	Other live plants,nes	Netherlands	PCS	1447	1676	0
06029000	Other live plants,nes	Thailand	PCS	2370	92	9
06029000	Other live plants,nes	United Arab Emirates	PCS	21	36	0
06031900	Other - Fresh cut flowers & buds  . .	India	Kg	66599	3667	1072
06039000	Dried, dyed, bleached or otherwise prepare d cut flowers and buds.	India	Kg	72	8	1
06049000	Other flowers not fresh  .	India	Kg	250	34	2
07011000	Seed potatoes fresh or chilled	India	Kg	60	2	0
07019000	Other potatoes, fresh or chilled	Bangladesh	Kg	84000	2114	423
07019000	Other potatoes, fresh or chilled	India	Kg	26530371	671083	94798
07019000	Other potatoes, fresh or chilled	Indonesia	Kg	15	0	0
07020000	Tomatoes fresh or chilled	India	Kg	3397850	39070	6016
07031000	Onions and shallots, fresh or chilled	India	Kg	14236297	514120	72826
07032000	Garlic, fresh or chilled  .	China	Kg	702240	84832	25112
07032000	Garlic, fresh or chilled  .	India	Kg	2270	204	57
07061000	Carrots and turnips, fresh or chilled	India	Kg	149250	2335	340
07069000	Beetrootradishes and other similar edib le roots, fresh or chilled	India	Kg	20540	317	46
07081000	Peas, fresh or chilled	India	Kg	660	11	1
07089000	Leguminous vegetables, fresh or chilled, n es	India	Kg	234486	2719	380
07095100	Mushrooms of the genus agaricus, fresh or  chilled	India	Kg	37206	11679	1637
07095900	Other mushrooms or truffles fresh or chill ed	India	Kg	5	1	0
07096000	Fruits of genus capiscum or pimenta, fresh  or chilled	China	Kg	50	16	2
07096000	Fruits of genus capiscum or pimenta, fresh  or chilled	India	Kg	6999	129	18
07096000	Fruits of genus capiscum or pimenta, fresh  or chilled	Taiwan, Province of China	Kg	0	5	1
07099300	Pumpkins, squash and gourds (Cucurbita spp)	India	Kg	69130	761	107
07099900	Other fresh or chilled vegetables	China	Kg	100	5	1
07099900	Other fresh or chilled vegetables	India	Kg	658025	9590	1402
07101000	Potatoes, frozen	India	Kg	980000	25268	3540
07102100	Shelled or unshelled peas, frozen	India	Kg	47310	5744	804
07104000	Sweet corn, frozen	India	Kg	4044	336	34
07109000	Mixtures of vegetables, frozen	India	Kg	440	10	1
07114000	Cucumbers and gherkins provisionally prese  ved.	India	Kg	3	0	0
07122000	Dried onions	China	Kg	12000	3921	588
07122000	Dried onions	India	Kg	188912	7451	1042
07123100	Dried mushrooms of the genus Agaricus	China	Kg	472	175	50
07123100	Dried mushrooms of the genus Agaricus	Hong Kong	Kg	2	1	0
07123900	Other dried mushrooms and truffles	Hong Kong	Kg	4	0	0
07123900	Other dried mushrooms and truffles	India	Kg	985	70	20
07123900	Other dried mushrooms and truffles	Serbia (Europe)	Kg	14	124	36
07129011	Dried Garlic not shelled or not split	India	Kg	56490	5119	1500
07129012	Dried Garlic shelled or split	India	Kg	45078	3941	1154
07129090	Other dried vegetable; mixtures of vegetables	China	Kg	33650	10416	3052
07129090	Other dried vegetable; mixtures of vegetables	India	Kg	13559	4468	1259
07131010	Dried peas, shelled whether or not skinned  or split	India	Kg	60006	3124	890
07131090	Dried peas, shelled whether or not skinned  or split	India	Kg	45	2	1
07132000	Dried gram, shelled whether or not skinned or split.	Australia	Kg	2643950	221063	22107
07132000	Dried gram, shelled whether or not skinned or split.	India	Kg	413075	30478	3049
07132000	Dried gram, shelled whether or not skinned or split.	Romania	Kg	18000	3450	345
07133100	Dried beans, shelled whether or not skinne   or split	Brazil	Kg	125000	11718	1172
07133100	Dried beans, shelled whether or not skinne   or split	India	Kg	734865	75646	7566
07133100	Dried beans, shelled whether or not skinne   or split	United Republic of Tanzania	Kg	933000	81002	8100
07133100	Dried beans, shelled whether or not skinne   or split	Venezuela	Kg	50000	4995	500
07133300	Dried kidney beans, incl white pea beans,   helled whether or not skinned or spli	India	Kg	193900	17369	1737
07133300	Dried kidney beans, incl white pea beans,   helled whether or not skinned or spli	Madagascar	Kg	68100	6110	611
07133400	Bambara beans (Vigna subterranea or Voandze a subterranea)	India	Kg	37110	3743	374
07133500	Cow peas (Vigna unguiculata)	India	Kg	3000	282	28
07133900	Dried beans, shelled, whether or not skinned or split nes	India	Kg	87500	6378	574
07134010	Dried Lentils,Whole	Australia	Kg	2259910	275549	27555
07134010	Dried Lentils,Whole	India	Kg	422840	46312	4169
07134010	Dried Lentils,Whole	United Arab Emirates	Kg	50000	5975	598
07134090	Others	Australia	Kg	494940	62158	6216
07134090	Others	India	Kg	492760	47033	4234
07134090	Others	United Arab Emirates	Kg	50000	6119	612
07135000	Dried broad beans and horse beans, shelled	India	Kg	10500	780	70
07136000	Pigeon peas (Cajanus cajan)	Ethiopia	Kg	660000	67310	6731
07136000	Pigeon peas (Cajanus cajan)	India	Kg	242771	24837	2484
07136000	Pigeon peas (Cajanus cajan)	Myanmar	Kg	124950	14291	1429
07136000	Pigeon peas (Cajanus cajan)	United Republic of Tanzania	Kg	250000	24156	2416
07139010	Other dried Leguminous Vegitables,Whole	India	Kg	166619	15751	1478
07139010	Other dried Leguminous Vegitables,Whole	Indonesia	Kg	20	1	0
07139010	Other dried Leguminous Vegitables,Whole	Namibia	Kg	15	1	0
07139090	Other dried Leguminous Vegitables,Whole	India	Kg	4315	312	31
08011100	Coconuts, desiccated, fresh or dried  .	India	Kg	130522	31722	12712
08011900	Coconuts, excluding desiccated, fresh or d ried	India	Kg	533168	22910	5741
08013100	Cashew nuts, in shell,fresh or dried	India	Kg	2	2	1
08013100	Cashew nuts, in shell,fresh or dried	Viet Nam	Kg	27700	3058	1784
08013200	Cashew nuts, without shell, fresh or dried	India	Kg	29887	29061	14338
08013200	Cashew nuts, without shell, fresh or dried	Mozambique	Kg	72780	56237	27805
08013200	Cashew nuts, without shell, fresh or dried	Nigeria	Kg	30376	25516	12616
08013200	Cashew nuts, without shell, fresh or dried	Viet Nam	Kg	15422	12761	6310
08021100	Almonds in shell, fresh or dried	India	Kg	2	1	1
08021200	Almonds without shells, fresh or dried	United States	Kg	56245	41755	17932
08023100	Walnuts in shell, fresh or dried  .	China	Kg	91370	29795	12796
08023200	Walnuts without shells, fresh or dried	India	Kg	0	1	0
08028000	Areca nuts .	Indonesia	Kg	1458480	322462	371538
08029900	Other	United States	Kg	0	1	1
08039000	Banana .	India	Kg	5187871	78636	33903
