,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
282,MCXEQN,1560.0,1575.0,1547.0,1562.0,1549.65,12.35,0.8,1721.0,1156.0,199665,311072080.05,22-Aug-2023 15:57:25,17.39,-4.43
283,BALRAMCHINEQN,388.5,398.0,388.05,392.4,389.4,3.0,0.77,430.9,307.3,1149034,453362855.04,22-Aug-2023 15:58:36,14.73,-0.59
284,VTLEQN,367.0,373.0,362.8,371.0,368.5,2.5,0.68,384.4,270.0,255745,94134619.6,22-Aug-2023 15:54:41,10.18,0.48
285,CANFINHOMEEQN,746.9,752.0,740.0,746.5,741.85,4.65,0.63,909.8,452.0,460473,344364733.05,22-Aug-2023 15:56:49,21.75,-11.44
286,RAYMONDEQN,1955.05,1973.35,1948.2,1963.05,1952.1,10.95,0.56,2022.0,935.0,92629,181760328.96,22-Aug-2023 15:59:02,100.44,8.41
287,QUESSEQN,400.05,403.0,398.45,401.9,400.0,1.9,0.47000000000000003,674.0,337.55,132089,52974293.45,22-Aug-2023 15:55:13,-30.68,-7.2
288,EIDPARRYEQN,463.0,465.2,457.2,461.8,460.5,1.3,0.28,670.0,433.2,231652,106840218.92,22-Aug-2023 15:58:24,-16.4,-1.98
289,PNBHOUSINGEQN,659.95,671.15,654.05,658.55,657.9,0.65,0.1,699.0,288.38,552538,366039848.86,22-Aug-2023 15:58:33,82.75,1.18
290,RITESEQN,476.0,490.85,469.6,473.5,473.35,0.15,0.03,509.85,270.1,3241385,1553822727.45,22-Aug-2023 15:58:45,72.94,4.1
291,TANLAEQN,1040.8,1053.95,1030.0,1034.2,1034.95,-0.75,-0.07,1317.95,493.0,433947,451478458.8,22-Aug-2023 15:58:51,42.12,-18.26
292,MGLEQN,1001.0,1002.5,992.0,992.65,993.45,-0.8,-0.08,1144.0,771.4,187378,187029476.92,22-Aug-2023 15:58:07,14.5,-6.74
293,DEEPAKFERTEQN,554.0,562.0,553.0,553.6,554.2,-0.6000000000000001,-0.11,1062.0,512.4,370629,206733149.91,22-Aug-2023 15:59:21,-38.6,-6.9
294,SAPPHIREEQN,1336.05,1353.85,1324.95,1333.6,1335.1,-1.5,-0.11,1574.0,1102.5,69527,93197467.15,22-Aug-2023 15:46:56,3.99,-6.49
295,CENTRALBKEQN,34.8,35.05,34.3,34.45,34.5,-0.05,-0.14,41.8,18.1,7728233,267010450.14999998,22-Aug-2023 15:59:48,92.74,10.75
296,BORORENEWEQN,451.7,452.65,446.8,448.05,449.4,-1.35,-0.30000000000000004,624.85,380.0,204336,91736647.2,22-Aug-2023 15:59:49,-19.77,-10.37
297,TRIVENIEQN,305.65,307.15,301.0,302.95,303.9,-0.9500000000000001,-0.31,333.0,220.0,1006056,305619691.67999995,22-Aug-2023 15:59:28,32.3,-0.07
298,PPLPHARMAEQN,99.3,100.9,99.1,99.5,99.9,-0.4,-0.4,196.08,61.86,3409258,340789429.68,22-Aug-2023 15:59:51,-,-4.31
299,CARBORUNIVEQN,1130.0,1130.05,1111.0,1117.0,1122.65,-5.65,-0.5,1304.9,788.15,145277,162409516.61,22-Aug-2023 15:58:13,38.71,-6.33
300,COCHINSHIPEQN,837.1,846.75,817.1,825.25,829.7,-4.45,-0.54,923.0,329.1,2409602,1999222683.38,22-Aug-2023 15:59:58,145.29,24.36
301,INTELLECTEQN,692.4,700.0,683.5,686.0,689.9,-3.9,-0.5700000000000001,731.0,388.65,213847,148091185.97,22-Aug-2023 15:59:32,13.01,9.13
302,CREDITACCEQN,1410.0,1414.9,1382.3,1390.2,1399.05,-8.85,-0.63,1502.0,834.1,98039,137245776.49,22-Aug-2023 15:49:25,38.62,6.51
303,AMBEREQN,2888.4,2922.35,2830.8,2846.1,2874.05,-27.95,-0.97,2987.2,1762.5,286142,825579759.82,22-Aug-2023 15:53:22,25.65,28.84
304,GRANULESEQN,298.5,299.15,294.55,294.95,298.3,-3.35,-1.12,381.0,267.75,1153324,341210905.40000004,22-Aug-2023 15:59:43,-4.59,-3.71
305,PRAJINDEQN,503.15,514.0,485.35,490.0,498.9,-8.9,-1.78,514.0,298.65,3270215,1644591123.5,22-Aug-2023 15:59:47,33.43,19.64
306,GLENMARKEQN,778.05,782.25,755.1,759.65,775.05,-15.4,-1.99,836.9,361.4,1228002,940268851.3800001,22-Aug-2023 15:58:31,100.61,2.91
307,INDIACEMEQN,246.7,248.0,237.1,239.8,245.0,-5.2,-2.12,298.95,167.2,2724252,661557355.6800001,22-Aug-2023 15:59:00,20.07,18.13
308,ELGIEQUIPEQN,478.95,479.5,464.5,465.0,475.1,-10.1,-2.13,623.0,357.95,296140,138889660.0,22-Aug-2023 15:59:23,12.73,-15.36
309,NIFTY 200,10309.65,10331.2,10299.2,10317.25,10290.75,26.5,0.26,10480.4,8767.55,1384751601,408532728219.03,22-Aug-2023 16:00:00,8.93,-0.81
310,NIFTY LARGEMID250,11483.45,11528.25,11477.0,11522.9,11453.85,69.04999999999927,0.6000000000000001,11529.6,5635.2,1450587440,430368685826.46,22-Aug-2023 16:00:00,14.42,1.17
311,NIFTY MIDCAP 150,14353.15,14460.5,14343.1,14454.1,14302.15,151.95000000000073,1.06,14460.5,11016.5,995151181,151989007411.65,22-Aug-2023 16:00:00,22.23,3.84
312,LINDEINDIAEQN,5300.0,5900.0,5256.1,5867.0,5248.35,618.65,11.79,5900.0,2933.0,475841,2669391875.44,22-Aug-2023 15:59:51,60.63,14.69
313,GICREEQN,206.9,222.75,204.35,217.8,205.55,12.25,5.96,222.75,117.4,8089555,1766273438.7,22-Aug-2023 15:59:20,68.62,5.87
314,NIACLEQN,124.55,136.1,124.3,130.65,123.85,6.8,5.49,142.35,82.5,12217181,1623296839.47,22-Aug-2023 15:59:51,37.69,4.12
315,GMRINFRAEQN,55.9,58.25,55.7,58.0,55.4,2.6,4.69,58.25,33.35,32240872,1842565834.8,22-Aug-2023 15:59:37,59.2,25.34
316,KPRMILLEQN,708.0,737.9,697.2,734.4,703.2,31.2,4.44,737.9,479.45,934704,670051909.44,22-Aug-2023 15:59:07,14.7,9.22
317,CLEANEQN,1373.7,1422.3,1373.0,1407.95,1368.65,39.3,2.87,1980.0,1227.1,226972,319381380.08000004,22-Aug-2023 15:57:16,-21.55,3.95
318,SUPREMEINDEQN,4378.0,4455.0,4316.2,4411.5,4303.3,108.2,2.51,4487.0,1820.0,499592,2204579593.92,22-Aug-2023 15:55:31,125.55,23.18
319,MANYAVAREQN,1230.0,1274.85,1230.0,1258.0,1227.8,30.2,2.46,1501.55,1058.05,274411,347637575.34999996,22-Aug-2023 15:59:06,3.7199999999999998,-4.16
320,APLAPOLLOEQN,1534.9,1600.0,1534.9,1568.0,1534.85,33.15,2.16,1638.0,941.0,1009656,1591944808.32,22-Aug-2023 15:54:41,44.35,7.72
321,3MINDIAEQN,29275.0,29600.0,29000.0,29500.0,29034.2,465.8,1.6,29750.0,21300.45,2279,67026415.550000004,22-Aug-2023 15:58:33,27.03,3.64
322,GRINDWELLEQN,2265.3,2318.9,2254.95,2288.95,2253.4,35.55,1.58,2495.0,1720.25,56967,130149656.55000001,22-Aug-2023 15:49:21,9.37,3.05
323,CRISILEQN,3955.9,4064.95,3920.15,4015.1,3955.95,59.15,1.5,4064.95,2725.0,46937,188558132.62,22-Aug-2023 15:57:03,20.91,1.43
324,ISECEQN,615.05,621.15,615.05,620.05,620.95,8.35,1.37,647.0,416.3,316726,195616312.12,22-Aug-2023 15:58:08,19.6,-1.9
325,TIMKENEQN,3178.5,3234.0,3170.5,3215.0,3172.85,42.15,1.33,3758.0,2645.0,28559,91589855.36,22-Aug-2023 15:59:34,9.59,-2.04
326,HAPPSTMNDSEQN,900.1,916.0,900.1,909.8,899.2,10.6,1.18,1092.9,763.25,383085,348090185.25,22-Aug-2023 15:59:12,-18.15,-3.79
327,GODREJINDEQN,495.1,500.0,492.95,497.4,492.55,4.85,0.98,523.4,395.0,92422,45925416.02,22-Aug-2023 15:58:55,4.25,2.89
328,ATULEQN,6785.15,6835.0,6766.6,6835.0,6775.3,59.7,0.88,9812.9,6466.75,23501,159830536.01,22-Aug-2023 15:50:38,-25.96,-3.41
329,BLUEDARTEQN,6445.0,6495.0,6420.05,6485.0,6434.3,50.7,0.79,9640.0,5631.75,10862,70219571.39999999,22-Aug-2023 15:46:55,-25.08,-11.04
330,STARHEALTHEQN,612.75,621.8,607.05,615.6,611.0,4.6,0.75,780.0,481.55,508999,314988941.16,22-Aug-2023 15:50:48,-12.74,-5.21
331,ENDURANCEEQN,1629.2,1645.0,1619.1,1632.0,1620.7,11.3,0.7000000000000001,1750.95,1179.0,21842,35764746.06,22-Aug-2023 15:51:26,12.41,-4.03
332,AFFLEEQN,1080.0,1093.6,1076.05,1082.0,1074.7,7.3,0.68,1369.0,866.5,120604,130921672.19999999,22-Aug-2023 15:54:41,-12.78,2.62
333,JKCEMENTEQN,3100.0,3136.7,3075.75,3113.0,3093.9,19.1,0.62,3466.3,2425.25,116494,363300518.28,22-Aug-2023 15:59:00,14.23,-2.88
334,FINEORGEQN,4559.0,4611.7,4521.0,4568.0,4546.1,21.9,0.48,7328.75,4040.0,18886,86293344.62,22-Aug-2023 15:56:21,-25.91,-3.43
335,EMAMILTDEQN,534.95,539.95,530.1,537.95,535.4,2.55,0.48,539.95,340.55,284034,152142812.1,22-Aug-2023 15:57:38,10.09,27.28
336,KAJARIACEREQN,1490.95,1509.0,1479.65,1494.95,1489.9,5.05,0.34,1523.8,1006.5,82292,123123644.56,22-Aug-2023 15:55:05,25.88,3.83
337,RELAXOEQN,929.95,940.45,929.95,933.0,929.95,3.05,0.33,1107.0,748.0,68815,64479655.0,22-Aug-2023 15:55:35,-7.11,0.9
338,PFIZEREQN,3905.0,3925.0,3880.25,3902.9,3890.75,12.15,0.31,4660.0,3408.0,10464,40829063.04,22-Aug-2023 15:44:00,-8.48,0.08
339,AAVASEQN,1573.0,1583.0,1562.45,1577.0,1573.95,3.05,0.19,2339.35,1335.5,70518,111033411.72,22-Aug-2023 15:59:23,-30.22,-0.04
340,SCHAEFFLEREQN,2955.85,2986.85,2947.8,2960.0,2954.65,5.35,0.18,3969.85,2555.55,55102,163177409.73999998,22-Aug-2023 15:58:30,0.16,-4.46
341,SOLARINDSEQN,4367.1,4387.1,4285.0,4370.0,4364.1,5.9,0.14,4538.0,3278.0,234829,1022959741.5099999,22-Aug-2023 15:45:31,27.66,15.58
342,SKFINDIAEQN,5049.9,5109.85,5002.0,5050.0,5044.05,5.95,0.12,5534.95,3960.1,12869,65170932.42,22-Aug-2023 15:59:45,10.69,-4.09
343,SUNDARMFINEQN,2597.0,2610.0,2581.1,2600.0,2597.0,3.0,0.12,2687.0,1976.25,18469,47887716.03,22-Aug-2023 15:50:09,27.73,-0.58
344,SUNDRMFASTEQN,1270.0,1275.5,1250.05,1268.8,1267.55,1.25,0.1,1281.95,827.15,129370,163060535.4,22-Aug-2023 15:44:38,50.8,3.04
345,SUMICHEMEQN,405.4,407.7,403.95,404.7,405.15,-0.45,-0.11,540.8,382.0,263762,106813059.52,22-Aug-2023 15:54:41,-16.31,-2.16
346,ALKYLAMINEEQN,2327.0,2359.0,2320.0,2324.0,2328.85,-4.85,-0.21,3199.0,2146.1,23159,54027631.1,22-Aug-2023 15:57:44,-22.76,-4.36
347,VINATIORGAEQN,1820.0,1827.9,1806.1,1812.0,1816.0,-4.0,-0.22,2377.0,1692.55,20843,37844426.67,22-Aug-2023 15:58:26,-17.43,-0.07
348,GLAXOEQN,1410.0,1410.0,1397.75,1401.0,1404.6,-3.6,-0.26,1485.0,1227.0,13996,19629809.88,22-Aug-2023 15:59:14,-4.65,0.45
349,KANSAINEREQN,330.6,330.6,324.3,325.0,325.95,-0.9500000000000001,-0.29,354.0,249.1,201851,65821592.589999996,22-Aug-2023 15:59:54,-35.54,0.98
350,AIAENGEQN,3609.65,3642.0,3575.0,3599.05,3609.65,-10.6,-0.29,3668.55,2383.5,39578,142796632.44,22-Aug-2023 15:56:26,43.67,2.76
351,ZFCVINDIAEQN,13416.75,13549.65,13320.1,13332.0,13383.55,-51.55,-0.39,14150.0,8638.55,1792,24006635.52,22-Aug-2023 15:58:32,40.57,9.28
352,UNOMINDAEQN,636.0,642.0,630.7,631.45,634.0,-2.55,-0.4,660.9,435.0,413812,263532034.08,22-Aug-2023 15:58:35,16.75,11.24
353,AARTIINDEQN,454.65,457.1,451.25,452.3,454.65,-2.35,-0.52,924.4,445.0,768401,348300805.28,22-Aug-2023 15:59:44,-44.21,-3.35
354,PHOENIXLTDEQN,1759.85,1766.95,1739.35,1746.0,1757.35,-11.35,-0.65,1797.75,1186.4,204966,360635627.34,22-Aug-2023 15:57:55,26.45,7.04
355,BAYERCROPEQN,4760.0,4784.8,4711.15,4748.85,4781.45,-32.6,-0.68,5484.7,3920.45,8535,40524777.449999996,22-Aug-2023 15:42:18,-8.91,3.69
356,AJANTPHARMEQN,1790.95,1790.95,1753.2,1770.0,1789.35,-19.35,-1.08,1805.0,1111.6,129798,230029313.58,22-Aug-2023 15:43:12,37.94,26.75
357,LODHAEQN,703.95,708.5,695.0,695.6,703.95,-8.35,-1.19,773.0,355.5,1280561,897481176.85,22-Aug-2023 15:58:31,-35.78,-0.31
358,NAM-INDIAEQN,315.75,316.9,308.5,310.0,314.95,-4.95,-1.57,326.55,196.9,650251,202787276.86,22-Aug-2023 15:55:16,3.38,0.85
359,RAJESHEXPOEQN,532.0,536.7,516.0,521.9,530.55,-8.65,-1.63,1029.7,503.65,2948275,1544394893.2500002,22-Aug-2023 15:59:43,-11.05,3.11
360,THERMAXEQN,2788.95,2794.95,2705.55,2720.0,2766.5,-46.5,-1.6800000000000002,2848.15,1830.65,53068,144934545.48000002,22-Aug-2023 15:48:59,22.22,12.02
361,METROBRANDEQN,1069.55,1080.0,1034.0,1037.6,1066.55,-28.95,-2.71,1127.2,736.05,129482,135133889.3,22-Aug-2023 15:56:53,31.87,-1.83
362,NIFTY SMLCAP 250,11477.6,11520.45,11472.95,11509.7,11432.65,77.05000000000109,0.67,11520.45,8492.4,799598179,103214842392.5,22-Aug-2023 16:00:00,26.44,2.9
363,JINDWORLDEQN,387.85,409.4,375.75,409.0,378.7,30.3,8.0,476.7,193.85,1051642,415766664.70000005,22-Aug-2023 15:56:21,74.28,18.16
364,CHALETEQN,503.3,535.0,498.9,535.0,503.3,31.7,6.3,535.0,303.95,625976,327084979.52,22-Aug-2023 15:56:10,49.37,9.7
365,RAINBOWEQN,1125.0,1184.6,1100.0,1170.0,1101.3,68.7,6.24,1184.6,556.0,585091,678641199.99,22-Aug-2023 15:59:10,95.25,-0.4
366,SJVNEQN,55.65,59.7,55.2,58.9,55.45,3.45,6.22,62.7,28.05,24899842,1447925812.3,22-Aug-2023 15:59:50,94.56,10.57
367,NETWORK18EQN,63.85,68.95,63.7,67.6,63.7,3.9,6.12,78.4,45.0,13367483,896022385.49,22-Aug-2023 15:58:17,-13.63,8.33
368,KNRCONEQN,256.95,271.95,254.55,270.3,255.5,14.8,5.79,280.8,202.7,4269810,1142088778.8000002,22-Aug-2023 15:56:27,-0.02,5.45
369,ENGINERSINEQN,152.4,161.4,152.05,158.95,151.85,7.1,4.68,161.4,62.4,17430120,2765114236.7999997,22-Aug-2023 15:59:54,127.66,12.48
370,TEAMLEASEEQN,2224.5,2319.0,2205.05,2315.0,2212.85,102.15,4.62,3489.0,2007.25,202701,454309697.28000003,22-Aug-2023 15:53:26,-32.95,-9.85
371,ACIEQN,560.6,585.2,557.95,581.65,558.15,23.5,4.21,731.8,440.2,496917,285916103.46,22-Aug-2023 15:59:34,-,5.33
372,EQUITASBNKEQN,82.8,86.5,82.6,85.75,82.55,3.2,3.88,101.2,42.85,4563308,388748208.52,22-Aug-2023 15:59:22,85.3,-14.41
373,FIVESTAREQN,774.0,797.3,757.5,797.0,769.35,27.65,3.59,876.55,448.2,338167,263239337.80999997,22-Aug-2023 15:56:38,-,18.13
374,GSFCEQN,157.45,162.5,157.45,161.6,156.15,5.45,3.49,183.4,116.0,3021108,486247332.59999996,22-Aug-2023 15:59:45,-2.38,-6.66
375,MAHLIFEEQN,524.9,554.9,524.9,527.0,510.35,16.65,3.26,554.9,316.0,1833520,991714297.6,22-Aug-2023 15:54:39,7.07,5.77
376,KIMSEQN,1932.2,2020.0,1918.05,1978.0,1924.35,53.65,2.79,2075.0,1181.05,169979,338237812.52000004,22-Aug-2023 15:54:41,57.82,2.2
377,RCFEQN,109.0,112.75,108.85,111.5,108.6,2.9,2.67,144.85,87.7,2228231,247155382.52,22-Aug-2023 15:59:21,18.75,-4.28
378,ITIEQN,113.05,117.0,113.05,116.0,113.0,3.0,2.65,125.5,86.55,818545,94812067.35,22-Aug-2023 15:59:52,-4.07,2.91
379,NATCOPHARMEQN,857.0,892.6,856.95,877.0,861.5,22.5,2.63,916.6,502.0,955158,836412757.4399999,22-Aug-2023 15:59:12,33.09,12.1
380,CRAFTSMANEQN,4740.35,4888.0,4740.35,4864.0,4740.35,123.65,2.61,4994.7,2502.3,23049,110765887.83,22-Aug-2023 15:55:44,74.47,4.43
381,VARROCEQN,381.0,396.8,381.0,393.0,383.55,9.45,2.46,409.8,239.45,420303,164943709.32,22-Aug-2023 15:57:11,14.12,14.34
382,FINPIPEEQN,207.7,211.5,206.75,211.25,206.2,5.05,2.45,213.3,121.5,663991,139391630.63,22-Aug-2023 15:59:27,41.33,9.45
383,GODREJAGROEQN,474.0,486.05,471.3,483.55,472.35,11.2,2.37,557.7,390.85,167680,80234880.0,22-Aug-2023 15:58:59,-7.73,-2.88
384,CGCLEQN,800.0,818.8,775.0,778.0,760.2,17.8,2.34,876.0,566.0,976205,777391089.7,22-Aug-2023 15:55:54,12.56,-5.34
385,AARTIDRUGSEQN,561.3,575.0,559.0,571.0,558.4,12.6,2.26,645.75,313.9,219369,124656434.25,22-Aug-2023 15:57:58,25.03,9.37
386,ASAHIINDIAEQN,494.0,508.7,493.0,504.5,493.6,10.9,2.21,694.0,419.65,96299,48371950.69,22-Aug-2023 15:59:24,-12.58,-11.79
387,MMTCEQN,38.55,40.35,38.55,39.4,38.55,0.85,2.2,45.9,26.3,10353599,411659096.23999995,22-Aug-2023 15:59:52,-6.32,12.88
388,WELCORPEQN,317.95,327.0,316.0,324.5,317.95,6.55,2.06,344.9,177.65,1039246,335136050.08000004,22-Aug-2023 15:54:41,43.35,-0.63
389,LAXMIMACHEQN,13198.1,13370.1,13110.0,13346.5,13079.3,267.2,2.04,14441.5,9806.5,3347,44521158.07,22-Aug-2023 15:54:02,16.03,-5.95
390,RUSTOMJEEEQN,590.0,612.0,575.25,595.95,584.95,11.0,1.88,658.95,416.05,34508,20461518.6,22-Aug-2023 15:57:40,-,-1.07
391,GALAXYSURFEQN,2635.0,2689.8,2631.0,2684.0,2634.8,49.2,1.87,3447.55,2221.6,10901,29032633.3,22-Aug-2023 15:50:20,-15.19,-1.6099999999999999
392,AVANTIFEEDEQN,405.75,421.0,405.7,413.0,405.7,7.3,1.8,527.85,321.1,293133,121175319.53999999,22-Aug-2023 15:51:33,-12.8,0.65
393,LEMONTREEEQN,107.0,108.5,105.45,107.0,105.2,1.8,1.71,108.5,66.4,17442077,1869790654.4,22-Aug-2023 15:59:57,48.9,14.78
394,GREENPANELEQN,335.25,342.0,333.45,339.5,334.25,5.25,1.57,459.0,255.0,182901,61913817.51,22-Aug-2023 15:58:30,-26.49,-4.51
395,JUSTDIALEQN,763.0,772.0,762.95,771.5,759.85,11.65,1.53,879.0,535.2,79999,61528830.88,22-Aug-2023 15:59:46,26.74,-4.58
396,ZENSARTECHEQN,516.3,524.0,516.0,520.7,512.9,7.8,1.52,529.1,201.5,1325257,689504711.9599999,22-Aug-2023 15:59:59,115.59,5.7
397,APTUSEQN,267.9,271.5,267.15,270.6,266.6,4.0,1.5,368.0,234.05,669411,180044782.55999997,22-Aug-2023 15:58:09,-13.61,-2.04
398,POWERINDIAEQN,4402.95,4550.0,4366.0,4450.0,4385.3,64.7,1.48,4550.0,2840.1,34182,152647582.85999998,22-Aug-2023 15:49:17,27.63,4.35
399,TRITURBINEEQN,370.75,379.7,370.55,376.5,371.2,5.3,1.43,430.5,193.4,354728,133150702.08,22-Aug-2023 15:58:01,87.95,-8.61
400,CEATLTDEQN,2307.0,2356.0,2307.0,2350.5,2318.85,31.65,1.3599999999999999,2642.0,1342.05,75243,176347771.53,22-Aug-2023 15:59:44,69.19,-4.55
401,NSLNISPEQN,52.75,53.7,51.35,52.95,52.25,0.7000000000000001,1.34,53.7,29.75,14883173,785980366.13,22-Aug-2023 15:59:58,-,16.63
402,CENTURYPLYEQN,634.75,639.35,622.5,637.0,629.2,7.8,1.24,710.0,436.0,143476,90331054.84,22-Aug-2023 15:50:53,-5.22,-6.92
403,INFIBEAMEQN,14.05,14.7,14.05,14.2,14.05,0.15,1.07,20.35,12.85,22741153,326790368.60999995,22-Aug-2023 15:58:34,-11.08,-6.02
404,DATAPATTNSEQN,2373.05,2426.0,2322.3,2389.0,2364.6,24.4,1.03,2426.0,829.85,466812,1109271351.24,22-Aug-2023 15:59:07,173.82,14.92
405,RALLISEQN,215.1,217.55,213.55,216.95,214.8,2.15,1.0,270.9,186.55,256226,55293570.800000004,22-Aug-2023 15:55:10,-5.12,-1.45
406,ASTERDMEQN,313.7,317.0,310.9,314.85,311.85,3.0,0.96,336.7,201.3,138380,43548186.0,22-Aug-2023 15:59:57,49.43,2.4
407,BBTCEQN,988.7,999.55,988.0,995.75,986.4,9.35,0.9500000000000001,1187.0,781.05,27429,27239739.900000002,22-Aug-2023 15:58:53,9.64,-10.28
408,PRSMJOHNSNEQN,128.0,129.65,127.0,129.0,127.85,1.15,0.9,143.7,98.0,131655,16903185.45,22-Aug-2023 15:59:26,0.55,4.67
409,GUJALKALIEQN,639.0,647.0,638.95,643.5,637.8,5.7,0.89,988.55,556.35,51392,33047625.599999998,22-Aug-2023 15:58:27,-27.33,-4.79
410,RATNAMANIEQN,2579.2,2608.95,2548.65,2601.5,2579.2,22.3,0.86,2697.0,1711.15,45200,116138236.0,22-Aug-2023 15:46:45,48.99,-1.12
411,SWANENERGYEQN,281.95,289.8,280.0,282.0,279.65,2.35,0.84,379.0,192.65,1367227,387882299.9,22-Aug-2023 15:59:51,37.96,23.66
412,NCCEQN,150.05,156.15,150.05,151.2,149.95,1.25,0.8300000000000001,162.0,64.65,4603342,705370094.66,22-Aug-2023 15:59:23,125.32,6.99
413,MASTEKEQN,2112.3,2149.0,2101.5,2118.0,2100.95,17.05,0.81,2254.9,1475.1,45003,95399609.55,22-Aug-2023 15:56:53,3.2,-2.48
414,RBAEQN,115.75,117.6,115.6,115.6,114.8,0.8,0.7000000000000001,137.8,84.5,479871,55847386.98,22-Aug-2023 15:59:10,-11.11,2.09
415,MHRILEQN,373.3,379.0,368.0,373.25,370.85,2.4,0.65,379.0,240.6,439077,163424459.4,22-Aug-2023 15:59:50,42.88,2.71
416,CCLEQN,611.0,613.95,606.0,612.25,608.45,3.8,0.62,749.5,414.55,82778,50536796.78,22-Aug-2023 15:58:02,45.68,-3.04
417,PNCINFRAEQN,328.5,331.5,327.5,329.05,327.05,2.0,0.61,368.55,237.0,267456,88019769.60000001,22-Aug-2023 15:57:31,30.9,-6.73
418,VIJAYAEQN,478.35,485.0,476.2,478.0,475.15,2.85,0.6000000000000001,528.0,342.85,196433,94224981.44,22-Aug-2023 15:52:02,34.53,5.12
419,GARFIBRESEQN,3170.0,3207.45,3170.0,3201.45,3184.4,17.05,0.54,3754.85,2650.0,6926,22082858.400000002,22-Aug-2023 15:43:32,4.04,3.03
420,PRINCEPIPEEQN,693.45,700.5,688.55,693.0,689.5,3.5,0.51,723.65,510.0,180059,125524530.67,22-Aug-2023 15:57:58,16.82,9.16
421,APARINDSEQN,5017.9,5088.0,4890.0,4995.0,4971.35,23.65,0.48,5349.95,1174.55,255435,1271629506.15,22-Aug-2023 15:56:17,313.93,34.59
422,HIKALEQN,284.5,289.8,284.35,285.5,284.35,1.15,0.4,427.8,260.75,152189,43672155.44,22-Aug-2023 15:58:17,-11.93,-5.97
423,HGSEQN,1009.0,1016.0,1008.0,1010.0,1006.3,3.7,0.37,1698.6,994.1,16599,16790220.48,22-Aug-2023 15:57:59,-32.36,-5.59
424,DELTACORPEQN,180.95,183.0,180.75,181.3,180.65,0.65,0.36,259.95,173.7,1438874,261299518.4,22-Aug-2023 15:57:12,-10.55,-4.09
425,CERAEQN,8640.0,8640.0,8520.05,8595.6,8565.85,29.75,0.35000000000000003,8742.45,4771.1,13505,115892617.29999998,22-Aug-2023 15:57:55,76.47,12.7
426,KSBEQN,2635.0,2694.0,2595.0,2640.0,2631.15,8.85,0.34,2770.0,1717.0,52471,137438339.72,22-Aug-2023 15:58:55,48,20.37
427,TCIEXPEQN,1409.95,1425.0,1400.15,1407.0,1402.9,4.1,0.29,2013.0,1374.0,34764,48926853.6,22-Aug-2023 15:54:41,-19.21,-6.42
428,KFINTECHEQN,381.4,384.9,378.2,379.0,377.95,1.05,0.28,404.0,272.0,282070,107581498.0,22-Aug-2023 15:59:17,-,-0.43
429,EIHOTELEQN,239.0,241.5,232.4,237.3,236.65,0.65,0.27,241.5,150.35,3274428,778135069.92,22-Aug-2023 15:56:45,53.47,8.31
430,MAHLOGEQN,377.75,383.0,377.75,378.7,377.7,1.0,0.26,567.0,349.7,93564,35601102.0,22-Aug-2023 15:57:27,-23.95,-7.65
431,NUVOCOEQN,341.8,351.85,338.5,341.0,340.1,0.9,0.26,475.0,288.0,276230,95465088.0,22-Aug-2023 15:58:30,-0.22,-3.44
432,NAZARAEQN,695.4,715.55,692.85,697.0,695.4,1.6,0.23,789.0,480.35,335320,236310063.6,22-Aug-2023 15:55:31,6.17,6.35
433,RAINEQN,158.25,159.05,156.0,157.9,157.55,0.35000000000000003,0.22,206.35,143.25,823093,130024001.21,22-Aug-2023 15:55:40,-17.86,-4.52
434,INGERRANDEQN,3165.65,3215.0,3130.05,3160.0,3153.65,6.35,0.2,3221.0,1703.0,27331,86893994.92,22-Aug-2023 15:59:12,80.8,13.67
435,RTNINDIAEQN,50.5,51.7,50.15,50.6,50.5,0.1,0.2,58.45,32.15,3178422,162163090.44,22-Aug-2023 15:58:43,-3.63,26.57
436,EPLEQN,204.8,206.25,201.15,204.3,204.0,0.30000000000000004,0.15,236.15,147.0,910379,186081467.6,22-Aug-2023 15:56:10,24.01,-8.91
437,ORIENTELECEQN,238.0,242.9,234.8,239.0,238.65,0.35000000000000003,0.15,291.0,215.65,461752,110123234.48,22-Aug-2023 15:59:39,-11.79,1.29
438,POLYPLEXEQN,1130.0,1130.0,1115.05,1117.95,1116.4,1.55,0.14,2224.5,1101.0,88318,99083964.2,22-Aug-2023 15:58:27,-48.53,-13.19
439,PCBLEQN,154.95,155.15,152.7,154.1,153.9,0.2,0.13,178.3,108.7,1012097,155751607.32999998,22-Aug-2023 15:59:54,23.61,-2.1
440,JUBLPHARMAEQN,443.5,448.95,440.15,444.05,443.5,0.55,0.12,470.75,268.9,123435,54848342.25,22-Aug-2023 15:58:23,28.33,18.85
441,HEGEQN,1790.0,1813.0,1773.0,1780.1,1777.95,2.15,0.12,1844.0,918.0,431050,773721818.5,22-Aug-2023 15:59:45,31.96,10.11
442,INDIGOPNTSEQN,1534.8,1549.95,1520.0,1524.95,1523.6,1.35,0.09,1731.95,981.95,62010,94954672.8,22-Aug-2023 15:55:06,0.8200000000000001,1.58
443,DCMSHRIRAMEQN,899.0,911.8,899.0,904.5,903.95,0.55,0.06,1121.0,730.2,30509,27571288.39,22-Aug-2023 15:52:39,-12.54,-0.14
