,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
165,INDHOTELEQN,379.4,389.4,379.4,388.5,379.4,9.1,2.4,406.0,263.35,3050549,1178671122.62,22-Aug-2023 15:56:22,39.77,-3.64
166,NMDCEQN,118.75,121.2,118.2,121.0,118.5,2.5,2.11,137.45,92.25,18115119,2171821616.91,22-Aug-2023 15:59:33,2.16,6.76
167,MPHASISEQN,2339.9,2373.25,2325.5,2362.8,2316.9,45.9,1.98,2389.0,1660.05,505599,1189123344.09,22-Aug-2023 15:58:29,-3.23,-0.6000000000000001
168,ABCAPITALEQN,183.65,188.4,182.15,186.1,182.6,3.5,1.92,199.3,106.65,3736162,695038216.86,22-Aug-2023 15:59:45,63.84,-1.72
169,VOLTASEQN,809.9,824.95,806.35,822.0,808.05,13.95,1.73,1015.75,737.2,748032,611942538.24,22-Aug-2023 15:57:13,-20.4,5.72
170,TRENTEQN,1999.95,2034.0,1999.0,2033.95,1999.95,34.0,1.7000000000000002,2034.0,1155.0,647887,1309198218.64,22-Aug-2023 15:52:13,43.04,16.69
171,JUBLFOODEQN,484.9,494.25,483.65,491.0,483.5,7.5,1.55,652.35,412.1,1521486,745239057.66,22-Aug-2023 15:58:47,-18.96,3.54
172,OBEROIRLTYEQN,1078.4,1101.5,1076.15,1091.75,1078.25,13.5,1.25,1149.8,790.1,378980,414175872.59999996,22-Aug-2023 15:54:56,12.05,2.08
173,ASTRALEQN,1985.95,2025.0,1980.4,2006.0,1981.2,24.8,1.25,2058.0,1297.8,715291,1437420181.96,22-Aug-2023 15:59:42,-3.5300000000000002,3.06
174,FEDERALBNKEQN,134.5,136.9,134.1,135.8,134.25,1.55,1.15,143.4,105.2,15619405,2118772288.25,22-Aug-2023 15:59:13,24.83,0.07
175,MFSLEQN,875.0,898.6,866.0,881.3,873.35,7.95,0.91,898.6,599.1,1538573,1367483682.3999999,22-Aug-2023 15:58:23,7.19,8.88
176,PFCEQN,271.4,277.2,270.1,272.5,270.05,2.45,0.91,277.2,100.85,12666246,3480557738.34,22-Aug-2023 15:57:20,127.03,18.96
177,CONCOREQN,659.55,664.1,655.15,662.8,657.9,4.9,0.74,828.75,555.0,608286,401024711.21999997,22-Aug-2023 15:55:55,-3.74,-2.52
178,GODREJPROPEQN,1555.0,1578.9,1554.05,1564.95,1554.1,10.85,0.7000000000000001,1769.0,1005.0,340641,533706099.57,22-Aug-2023 15:49:01,13.89,-4.48
179,ASHOKLEYEQN,187.75,189.0,186.4,188.05,186.85,1.2,0.64,191.5,133.1,9617845,1807385432.3999999,22-Aug-2023 15:59:45,26.25,2.75
180,BANDHANBNKEQN,230.55,232.7,229.9,231.95,230.55,1.4,0.61,314.8,182.15,4046691,938103907.62,22-Aug-2023 15:59:49,-18.19,5.76
181,ZEELEQN,271.95,274.4,271.1,272.7,271.1,1.6,0.59,290.7,170.1,5591264,1524681780.16,22-Aug-2023 15:59:20,4.17,22.86
